player,team,position,rating,goals_per_match,expected_matches,projected_goals
Jonathan Osorio,Canada,Midfield,5.0,0.3,3.28,0.98
Stephen Eustáquio,Canada,Midfield,5.0,0.3,3.28,0.98
Mathieu Choinière,Canada,Midfield,5.0,0.3,3.28,0.98
Tajon Buchanan,Canada,Midfield,5.0,0.3,3.28,0.98
Marcelo Flores,Canada,Midfield,5.0,0.3,3.28,0.98
Nathan-Dylan Saliba,Canada,Midfield,5.0,0.3,3.28,0.98
Ali Ahmed,Canada,Midfield,5.0,0.3,3.28,0.98
Niko Sigur,Canada,Midfield,5.0,0.3,3.28,0.98
Scott McTominay,Scotland,Midfield,5.0,0.3,3.26,0.98
Tomáš Souček,Czech Republic,Midfield,5.0,0.3,3.28,0.98
Nabil Bentaleb,Algeria,Midfield,5.0,0.3,3.26,0.98
Houssem Aouar,Algeria,Midfield,5.0,0.3,3.26,0.98
Hicham Boudaoui,Algeria,Midfield,5.0,0.3,3.26,0.98
Ramiz Zerrouki,Algeria,Midfield,5.0,0.3,3.26,0.98
Fares Chaïbi,Algeria,Midfield,5.0,0.3,3.26,0.98
Ibrahim Maza,Algeria,Midfield,5.0,0.3,3.26,0.98
Vladimír Darida,Czech Republic,Midfield,5.0,0.3,3.28,0.98
Mohanad Lashin,Egypt,Midfield,5.0,0.3,3.24,0.97
Emam Ashour,Egypt,Midfield,5.0,0.3,3.24,0.97
Trezeguet,Egypt,Midfield,5.0,0.3,3.24,0.97
Zizo,Egypt,Midfield,5.0,0.3,3.24,0.97
Marwan Attia,Egypt,Midfield,5.0,0.3,3.24,0.97
Mahmoud Saber,Egypt,Midfield,5.0,0.3,3.24,0.97
Mostafa Ziko,Egypt,Midfield,5.0,0.3,3.24,0.97
Hamdy Fathy,Egypt,Midfield,5.0,0.3,3.24,0.97
Nabil Dunga,Egypt,Midfield,5.0,0.3,3.24,0.97
Mohammed Kanno,Saudi Arabia,Midfield,5.0,0.3,3.16,0.95
Ziyad Al-Johani,Saudi Arabia,Midfield,5.0,0.3,3.16,0.95
Mohammed Abu Al Shamat,Saudi Arabia,Midfield,5.0,0.3,3.16,0.95
Alaa Al Hejji,Saudi Arabia,Midfield,5.0,0.3,3.16,0.95
Ellyes Skhiri,Tunisia,Midfield,5.0,0.3,3.15,0.95
César Yanis,Panama,Midfield,5.0,0.3,3.16,0.95
Ayman Yahya,Saudi Arabia,Midfield,5.0,0.3,3.16,0.95
Rani Khedira,Tunisia,Midfield,5.0,0.3,3.15,0.95
Anis Ben Slimane,Tunisia,Midfield,5.0,0.3,3.15,0.95
Ismaël Gharbi,Tunisia,Midfield,5.0,0.3,3.15,0.95
Hannibal Mejbri,Tunisia,Midfield,5.0,0.3,3.15,0.95
Musab Al Juwayr,Saudi Arabia,Midfield,5.0,0.3,3.16,0.95
Lucas Bergvall,Sweden,Midfield,5.0,0.3,3.15,0.95
Nasser Al Dawsari,Saudi Arabia,Midfield,5.0,0.3,3.16,0.95
Christian Martinez,Panama,Midfield,5.0,0.3,3.16,0.95
Salem Al Dawsari,Saudi Arabia,Midfield,5.0,0.3,3.16,0.95
Hadj Mahmoud,Tunisia,Midfield,5.0,0.3,3.15,0.95
Taha Ali,Sweden,Midfield,5.0,0.3,3.15,0.95
Besfort Zeneli,Sweden,Midfield,5.0,0.3,3.15,0.95
Yasin Ayari,Sweden,Midfield,5.0,0.3,3.15,0.95
Jesper Karlström,Sweden,Midfield,5.0,0.3,3.15,0.95
Mattias Svanberg,Sweden,Midfield,5.0,0.3,3.15,0.95
Ken Sema,Sweden,Midfield,5.0,0.3,3.15,0.95
Elias Achouri,Tunisia,Midfield,5.0,0.3,3.15,0.95
Abdullah Al Khaibari,Saudi Arabia,Midfield,5.0,0.3,3.16,0.95
Abdulaziz Hatem,Qatar,Midfield,5.0,0.3,3.18,0.95
Yusuf Abdurisag,Qatar,Midfield,5.0,0.3,3.18,0.95
Alberto Quintero,Panama,Midfield,5.0,0.3,3.16,0.95
Aníbal Godoy,Panama,Midfield,5.0,0.3,3.16,0.95
Édgar Bárcenas,Panama,Midfield,5.0,0.3,3.16,0.95
Cecilio Waterman,Panama,Midfield,5.0,0.3,3.16,0.95
Carlos Harvey,Panama,Midfield,5.0,0.3,3.16,0.95
Assim Madibo,Qatar,Midfield,5.0,0.3,3.18,0.95
Adalberto Carrasquilla,Panama,Midfield,5.0,0.3,3.16,0.95
Karim Boudiaf,Qatar,Midfield,5.0,0.3,3.18,0.95
Ahmed Fathy,Qatar,Midfield,5.0,0.3,3.18,0.95
José Luis Rodríguez,Panama,Midfield,5.0,0.3,3.16,0.95
Ahmed Al Ganehi,Qatar,Midfield,5.0,0.3,3.18,0.95
Tahsin Jamshid,Qatar,Midfield,5.0,0.3,3.18,0.95
Mohamed Al-Mannai,Qatar,Midfield,5.0,0.3,3.18,0.95
Amir Hadžiahmetović,Bosnia and Herzegovina,Midfield,5.0,0.3,3.12,0.94
Dženis Burnić,Bosnia and Herzegovina,Midfield,5.0,0.3,3.12,0.94
Diego Gómez,Paraguay,Midfield,5.0,0.3,3.15,0.94
Gaël Kakuta,DR Congo,Midfield,5.0,0.3,3.12,0.94
Samuel Moutoussamy,DR Congo,Midfield,5.0,0.3,3.12,0.94
Edo Kayembe,DR Congo,Midfield,5.0,0.3,3.12,0.94
Damian Bobadilla,Paraguay,Midfield,5.0,0.3,3.15,0.94
Matías Galarza,Paraguay,Midfield,5.0,0.3,3.15,0.94
Braian Ojeda,Paraguay,Midfield,5.0,0.3,3.15,0.94
Mauricio,Paraguay,Midfield,5.0,0.3,3.15,0.94
Miguel Almirón,Paraguay,Midfield,5.0,0.3,3.15,0.94
Kaku,Paraguay,Midfield,5.0,0.3,3.15,0.94
Andrés Cubas,Paraguay,Midfield,5.0,0.3,3.15,0.94
Aaron Tshibola,DR Congo,Midfield,5.0,0.3,3.12,0.94
Ivan Bašić,Bosnia and Herzegovina,Midfield,5.0,0.3,3.12,0.94
Charles Pickel,DR Congo,Midfield,5.0,0.3,3.12,0.94
Noah Sadiki,DR Congo,Midfield,5.0,0.3,3.12,0.94
Ngal'ayel Mukau,DR Congo,Midfield,5.0,0.3,3.12,0.94
Armin Gigovic,Bosnia and Herzegovina,Midfield,5.0,0.3,3.12,0.94
Amar Memić,Bosnia and Herzegovina,Midfield,5.0,0.3,3.12,0.94
Ivan Šunjić,Bosnia and Herzegovina,Midfield,5.0,0.3,3.12,0.94
Ermin Mahmic,Bosnia and Herzegovina,Midfield,5.0,0.3,3.12,0.94
Benjamin Tahirovic,Bosnia and Herzegovina,Midfield,5.0,0.3,3.12,0.94
Kwasi Sibo,Ghana,Midfield,5.0,0.3,3.09,0.93
Themba Zwane,South Africa,Midfield,5.0,0.3,3.1,0.93
Teboho Mokoena,South Africa,Midfield,5.0,0.3,3.1,0.93
Sphephelo Sithole,South Africa,Midfield,5.0,0.3,3.1,0.93
Jayden Adams,South Africa,Midfield,5.0,0.3,3.1,0.93
Thalente Mbatha,South Africa,Midfield,5.0,0.3,3.1,0.93
Kamogelo Sebelebele,South Africa,Midfield,5.0,0.3,3.1,0.93
Caleb Yirenkyi,Ghana,Midfield,5.0,0.3,3.09,0.93
Augustine Boakye,Ghana,Midfield,5.0,0.3,3.09,0.93
Thapelo Maseko,South Africa,Midfield,5.0,0.3,3.1,0.93
Elisha Owusu,Ghana,Midfield,5.0,0.3,3.09,0.93
Thomas Partey,Ghana,Midfield,5.0,0.3,3.09,0.93
Sherzod Esanov,Uzbekistan,Midfield,5.0,0.3,3.07,0.92
Nizar Al Rashdan,Jordan,Midfield,5.0,0.3,3.08,0.92
Rajaei Ayed,Jordan,Midfield,5.0,0.3,3.08,0.92
Noor Al Rawabdeh,Jordan,Midfield,5.0,0.3,3.08,0.92
Mohammad Abu Hasheesh,Jordan,Midfield,5.0,0.3,3.08,0.92
Ibrahim Saadeh,Jordan,Midfield,5.0,0.3,3.08,0.92
Mohammad Al-Dawoud,Jordan,Midfield,5.0,0.3,3.08,0.92
Amer Jamous,Jordan,Midfield,5.0,0.3,3.08,0.92
Abbosbek Fayzullaev,Uzbekistan,Midfield,5.0,0.3,3.07,0.92
Azizjon Ganiev,Uzbekistan,Midfield,5.0,0.3,3.07,0.92
Odiljon Hamrobekov,Uzbekistan,Midfield,5.0,0.3,3.07,0.92
Jamshid Iskanderov,Uzbekistan,Midfield,5.0,0.3,3.07,0.92
Akmal Mozgovoy,Uzbekistan,Midfield,5.0,0.3,3.07,0.92
Otabek Shukurov,Uzbekistan,Midfield,5.0,0.3,3.07,0.92
Dostonbek Xamdamov,Uzbekistan,Midfield,5.0,0.3,3.07,0.92
Oston Urunov,Uzbekistan,Midfield,5.0,0.3,3.07,0.92
Ibrahim Bayesh,Iraq,Midfield,5.0,0.3,3.04,0.91
Sarpreet Singh,New Zealand,Midfield,5.0,0.3,3.03,0.91
Ryan Thomas,New Zealand,Midfield,5.0,0.3,3.03,0.91
Callum McCowatt,New Zealand,Midfield,5.0,0.3,3.03,0.91
Joe Bell,New Zealand,Midfield,5.0,0.3,3.03,0.91
Alex Rufer,New Zealand,Midfield,5.0,0.3,3.03,0.91
Zaid Ismail,Iraq,Midfield,5.0,0.3,3.04,0.91
Zidane Iqbal,Iraq,Midfield,5.0,0.3,3.04,0.91
Ahmed Qasem,Iraq,Midfield,5.0,0.3,3.04,0.91
Youssef Amyn,Iraq,Midfield,5.0,0.3,3.04,0.91
Leverton Pierre,Haiti,Midfield,5.0,0.3,3.04,0.91
Aimar Sher,Iraq,Midfield,5.0,0.3,3.04,0.91
Marko Stamenic,New Zealand,Midfield,5.0,0.3,3.03,0.91
Ben Old,New Zealand,Midfield,5.0,0.3,3.03,0.91
Amir Al Ammari,Iraq,Midfield,5.0,0.3,3.04,0.91
Jean-Ricner Bellegarde,Haiti,Midfield,5.0,0.3,3.04,0.91
Derrick Etienne,Haiti,Midfield,5.0,0.3,3.04,0.91
Danley Jean Jacques,Haiti,Midfield,5.0,0.3,3.04,0.91
Kevin Yakob,Iraq,Midfield,5.0,0.3,3.04,0.91
Carl Sainté,Haiti,Midfield,5.0,0.3,3.04,0.91
Woodensky Pierre,Haiti,Midfield,5.0,0.3,3.04,0.91
Dominique Simon,Haiti,Midfield,5.0,0.3,3.04,0.91
